epoch 86 | pearsonr 0.73 | spearmanr 0.75 | loss 26701.43
epoch 87 | pearsonr 0.73 | spearmanr 0.75 | loss 26696.18
epoch 88 | pearsonr 0.73 | spearmanr 0.75 | loss 26695.46
epoch 89 | pearsonr 0.73 | spearmanr 0.75 | loss 26699.00
epoch 90 | pearsonr 0.73 | spearmanr 0.75 | loss 26700.36
epoch 91 | pearsonr 0.73 | spearmanr 0.75 | loss 26688.68
epoch 92 | pearsonr 0.73 | spearmanr 0.75 | loss 26686.53
epoch 93 | pearsonr 0.73 | spearmanr 0.75 | loss 26683.65
epoch 94 | pearsonr 0.73 | spearmanr 0.75 | loss 26686.30
epoch 95 | pearsonr 0.73 | spearmanr 0.75 | loss 26679.22
epoch 96 | pearsonr 0.73 | spearmanr 0.75 | loss 26674.35
epoch 97 | pearsonr 0.73 | spearmanr 0.75 | loss 26674.82
epoch 98 | pearsonr 0.73 | spearmanr 0.75 | loss 26677.43
epoch 99 | pearsonr 0.73 | spearmanr 0.75 | loss 26672.71
